activity_id,week,location_id,co_share_group
A048,1,PLAT:BET:S13:EB,b1
A048,1,SEC:BET:S13_S14:EB,b1
A048,1,PLAT:BET:S14:EB,b1
A002,1,PLAT:BET:S11:WB,b2
A002,1,SEC:BET:S11_S12:WB,b2
A002,1,PLAT:BET:S12:WB,b2
A002,1,SEC:BET:S12_S13:WB,b2
A002,1,PLAT:BET:S13:WB,b2
A035,1,PLAT:ALP:S02:WB,b3
A035,1,SEC:ALP:S02_S03:WB,b3
A035,1,PLAT:ALP:S03:WB,b3
A035,1,SEC:ALP:S03_S04:WB,b3
A035,1,PLAT:ALP:S04:WB,b3
A031,1,PLAT:ALP:S06:WB,b4
A031,1,SEC:ALP:S06_S07:WB,b4
A031,1,PLAT:ALP:S07:WB,b4
A031,1,SEC:ALP:S07_S08:WB,b4
A031,1,PLAT:ALP:S08:WB,b4
A009,2,PLAT:ALP:S05:EB,b1
A009,2,SEC:ALP:S05_S06:EB,b1
A009,2,PLAT:ALP:S06:EB,b1
A048,2,PLAT:BET:S13:EB,b2
A048,2,SEC:BET:S13_S14:EB,b2
A048,2,PLAT:BET:S14:EB,b2
A012,2,PLAT:BET:H01:WB,b3
A012,2,SEC:BET:H01_H02:WB,b3
A012,2,PLAT:BET:H02:WB,b3
A012,2,SEC:BET:H02_S15:WB,b3
A012,2,PLAT:BET:S15:WB,b3
A058,2,PLAT:ALP:S03:WB,b4
A058,2,SEC:ALP:S03_S04:WB,b4
A058,2,PLAT:ALP:S04:WB,b4
A058,2,SEC:ALP:S04_H01:WB,b4
A058,2,PLAT:ALP:H01:WB,b4
A058,2,SEC:ALP:H01_H02:WB,b4
A058,2,PLAT:ALP:H02:WB,b4
A035,2,PLAT:ALP:S02:WB,b4
A035,2,SEC:ALP:S02_S03:WB,b4
A035,2,PLAT:ALP:S03:WB,b4
A035,2,SEC:ALP:S03_S04:WB,b4
A035,2,PLAT:ALP:S04:WB,b4
A031,2,PLAT:ALP:S06:WB,b5
A031,2,SEC:ALP:S06_S07:WB,b5
A031,2,PLAT:ALP:S07:WB,b5
A031,2,SEC:ALP:S07_S08:WB,b5
A031,2,PLAT:ALP:S08:WB,b5
A021,3,PLAT:BET:S11:WB,b1
A021,3,SEC:BET:S11_S12:WB,b1
A021,3,PLAT:BET:S12:WB,b1
A021,3,SEC:BET:S12_S13:WB,b1
A021,3,PLAT:BET:S13:WB,b1
A009,3,PLAT:ALP:S05:EB,b2
A009,3,SEC:ALP:S05_S06:EB,b2
A009,3,PLAT:ALP:S06:EB,b2
A048,3,PLAT:BET:S13:EB,b3
A048,3,SEC:BET:S13_S14:EB,b3
A048,3,PLAT:BET:S14:EB,b3
A058,3,PLAT:ALP:S03:WB,b4
A058,3,SEC:ALP:S03_S04:WB,b4
A058,3,PLAT:ALP:S04:WB,b4
A058,3,SEC:ALP:S04_H01:WB,b4
A058,3,PLAT:ALP:H01:WB,b4
A058,3,SEC:ALP:H01_H02:WB,b4
A058,3,PLAT:ALP:H02:WB,b4
A035,3,PLAT:ALP:S02:WB,b4
A035,3,SEC:ALP:S02_S03:WB,b4
A035,3,PLAT:ALP:S03:WB,b4
A035,3,SEC:ALP:S03_S04:WB,b4
A035,3,PLAT:ALP:S04:WB,b4
A006,3,PLAT:ALP:S03:WB,b4
A006,3,SEC:ALP:S03_S04:WB,b4
A006,3,PLAT:ALP:S04:WB,b4
A006,3,SEC:ALP:S04_H01:WB,b4
A006,3,PLAT:ALP:H01:WB,b4
A006,3,SEC:ALP:H01_H02:WB,b4
A006,3,PLAT:ALP:H02:WB,b4
A021,4,PLAT:BET:S11:WB,b1
A021,4,SEC:BET:S11_S12:WB,b1
A021,4,PLAT:BET:S12:WB,b1
A021,4,SEC:BET:S12_S13:WB,b1
A021,4,PLAT:BET:S13:WB,b1
A009,4,PLAT:ALP:S05:EB,b2
A009,4,SEC:ALP:S05_S06:EB,b2
A009,4,PLAT:ALP:S06:EB,b2
A061,4,PLAT:BET:H01:EB,b3
A061,4,SEC:BET:H01_H02:EB,b3
A061,4,PLAT:BET:H02:EB,b3
A061,4,SEC:BET:H02_S15:EB,b3
A061,4,PLAT:BET:S15:EB,b3
A058,4,PLAT:ALP:S03:WB,b4
A058,4,SEC:ALP:S03_S04:WB,b4
A058,4,PLAT:ALP:S04:WB,b4
A058,4,SEC:ALP:S04_H01:WB,b4
A058,4,PLAT:ALP:H01:WB,b4
A058,4,SEC:ALP:H01_H02:WB,b4
A058,4,PLAT:ALP:H02:WB,b4
A006,4,PLAT:ALP:S03:WB,b4
A006,4,SEC:ALP:S03_S04:WB,b4
A006,4,PLAT:ALP:S04:WB,b4
A006,4,SEC:ALP:S04_H01:WB,b4
A006,4,PLAT:ALP:H01:WB,b4
A006,4,SEC:ALP:H01_H02:WB,b4
A006,4,PLAT:ALP:H02:WB,b4
A021,5,PLAT:BET:S11:WB,b1
A021,5,SEC:BET:S11_S12:WB,b1
A021,5,PLAT:BET:S12:WB,b1
A021,5,SEC:BET:S12_S13:WB,b1
A021,5,PLAT:BET:S13:WB,b1
A063,5,PLAT:BET:S14:EB,b2
A063,5,SEC:BET:S14_H01:EB,b2
A063,5,PLAT:BET:H01:EB,b2
A063,5,SEC:BET:H01_H02:EB,b2
A063,5,PLAT:BET:H02:EB,b2
A009,5,PLAT:ALP:S05:EB,b3
A009,5,SEC:ALP:S05_S06:EB,b3
A009,5,PLAT:ALP:S06:EB,b3
A061,5,PLAT:BET:H01:EB,b2
A061,5,SEC:BET:H01_H02:EB,b2
A061,5,PLAT:BET:H02:EB,b2
A061,5,SEC:BET:H02_S15:EB,b2
A061,5,PLAT:BET:S15:EB,b2
A058,5,PLAT:ALP:S03:WB,b4
A058,5,SEC:ALP:S03_S04:WB,b4
A058,5,PLAT:ALP:S04:WB,b4
A058,5,SEC:ALP:S04_H01:WB,b4
A058,5,PLAT:ALP:H01:WB,b4
A058,5,SEC:ALP:H01_H02:WB,b4
A058,5,PLAT:ALP:H02:WB,b4
A009,6,PLAT:ALP:S05:EB,b1
A009,6,SEC:ALP:S05_S06:EB,b1
A009,6,PLAT:ALP:S06:EB,b1
A061,6,PLAT:BET:H01:EB,b2
A061,6,SEC:BET:H01_H02:EB,b2
A061,6,PLAT:BET:H02:EB,b2
A061,6,SEC:BET:H02_S15:EB,b2
A061,6,PLAT:BET:S15:EB,b2
A012,6,PLAT:BET:H01:WB,b3
A012,6,SEC:BET:H01_H02:WB,b3
A012,6,PLAT:BET:H02:WB,b3
A012,6,SEC:BET:H02_S15:WB,b3
A012,6,PLAT:BET:S15:WB,b3
A058,6,PLAT:ALP:S03:WB,b4
A058,6,SEC:ALP:S03_S04:WB,b4
A058,6,PLAT:ALP:S04:WB,b4
A058,6,SEC:ALP:S04_H01:WB,b4
A058,6,PLAT:ALP:H01:WB,b4
A058,6,SEC:ALP:H01_H02:WB,b4
A058,6,PLAT:ALP:H02:WB,b4
A009,7,PLAT:ALP:S05:EB,b1
A009,7,SEC:ALP:S05_S06:EB,b1
A009,7,PLAT:ALP:S06:EB,b1
A061,7,PLAT:BET:H01:EB,b2
A061,7,SEC:BET:H01_H02:EB,b2
A061,7,PLAT:BET:H02:EB,b2
A061,7,SEC:BET:H02_S15:EB,b2
A061,7,PLAT:BET:S15:EB,b2
