activity_id,week,location_id,co_share_group
A031,1,PLAT:ALP:S06:WB,b1
A031,1,SEC:ALP:S06_S07:WB,b1
A031,1,PLAT:ALP:S07:WB,b1
A031,1,SEC:ALP:S07_S08:WB,b1
A031,1,PLAT:ALP:S08:WB,b1
A002,1,PLAT:BET:S11:WB,b2
A002,1,SEC:BET:S11_S12:WB,b2
A002,1,PLAT:BET:S12:WB,b2
A002,1,SEC:BET:S12_S13:WB,b2
A002,1,PLAT:BET:S13:WB,b2
A035,1,PLAT:ALP:S02:WB,b3
A035,1,SEC:ALP:S02_S03:WB,b3
A035,1,PLAT:ALP:S03:WB,b3
A035,1,SEC:ALP:S03_S04:WB,b3
A035,1,PLAT:ALP:S04:WB,b3
A048,1,PLAT:BET:S13:EB,b4
A048,1,SEC:BET:S13_S14:EB,b4
A048,1,PLAT:BET:S14:EB,b4
A031,2,PLAT:ALP:S06:WB,b1
A031,2,SEC:ALP:S06_S07:WB,b1
A031,2,PLAT:ALP:S07:WB,b1
A031,2,SEC:ALP:S07_S08:WB,b1
A031,2,PLAT:ALP:S08:WB,b1
A009,2,PLAT:ALP:S05:EB,b2
A009,2,SEC:ALP:S05_S06:EB,b2
A009,2,PLAT:ALP:S06:EB,b2
A012,2,PLAT:BET:H01:WB,b3
A012,2,SEC:BET:H01_H02:WB,b3
A012,2,PLAT:BET:H02:WB,b3
A012,2,SEC:BET:H02_S15:WB,b3
A012,2,PLAT:BET:S15:WB,b3
A058,2,PLAT:ALP:S03:WB,b4
A058,2,SEC:ALP:S03_S04:WB,b4
A058,2,PLAT:ALP:S04:WB,b4
A058,2,SEC:ALP:S04_H01:WB,b4
A058,2,PLAT:ALP:H01:WB,b4
A058,2,SEC:ALP:H01_H02:WB,b4
A058,2,PLAT:ALP:H02:WB,b4
A035,2,PLAT:ALP:S02:WB,b4
A035,2,SEC:ALP:S02_S03:WB,b4
A035,2,PLAT:ALP:S03:WB,b4
A035,2,SEC:ALP:S03_S04:WB,b4
A035,2,PLAT:ALP:S04:WB,b4
A048,2,PLAT:BET:S13:EB,b5
A048,2,SEC:BET:S13_S14:EB,b5
A048,2,PLAT:BET:S14:EB,b5
A009,3,PLAT:ALP:S05:EB,b1
A009,3,SEC:ALP:S05_S06:EB,b1
A009,3,PLAT:ALP:S06:EB,b1
A012,3,PLAT:BET:H01:WB,b2
A012,3,SEC:BET:H01_H02:WB,b2
A012,3,PLAT:BET:H02:WB,b2
A012,3,SEC:BET:H02_S15:WB,b2
A012,3,PLAT:BET:S15:WB,b2
A058,3,PLAT:ALP:S03:WB,b3
A058,3,SEC:ALP:S03_S04:WB,b3
A058,3,PLAT:ALP:S04:WB,b3
A058,3,SEC:ALP:S04_H01:WB,b3
A058,3,PLAT:ALP:H01:WB,b3
A058,3,SEC:ALP:H01_H02:WB,b3
A058,3,PLAT:ALP:H02:WB,b3
A006,3,PLAT:ALP:S03:WB,b3
A006,3,SEC:ALP:S03_S04:WB,b3
A006,3,PLAT:ALP:S04:WB,b3
A006,3,SEC:ALP:S04_H01:WB,b3
A006,3,PLAT:ALP:H01:WB,b3
A006,3,SEC:ALP:H01_H02:WB,b3
A006,3,PLAT:ALP:H02:WB,b3
A035,3,PLAT:ALP:S02:WB,b3
A035,3,SEC:ALP:S02_S03:WB,b3
A035,3,PLAT:ALP:S03:WB,b3
A035,3,SEC:ALP:S03_S04:WB,b3
A035,3,PLAT:ALP:S04:WB,b3
A048,3,PLAT:BET:S13:EB,b4
A048,3,SEC:BET:S13_S14:EB,b4
A048,3,PLAT:BET:S14:EB,b4
A009,4,PLAT:ALP:S05:EB,b1
A009,4,SEC:ALP:S05_S06:EB,b1
A009,4,PLAT:ALP:S06:EB,b1
A012,4,PLAT:BET:H01:WB,b2
A012,4,SEC:BET:H01_H02:WB,b2
A012,4,PLAT:BET:H02:WB,b2
